[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.276505 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002392 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.805987 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002424 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002687 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002242 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.272795 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002392 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.777122 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002265 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002694 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002278 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.285442 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002377 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.796230 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002568 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002634 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002251 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.248533 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002291 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.778099 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002461 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002754 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002253 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.254856 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002370 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.767294 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002396 seconds
