[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.422809 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013827 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.379658 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.014952 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.015142 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.012640 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.430958 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014357 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.341829 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013990 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013044 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011277 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.401419 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013642 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.242813 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013553 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012914 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011258 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.667871 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.023777 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.494013 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.016031 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012893 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011281 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.425038 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013024 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.663260 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.016860 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013413 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.012250 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.433994 seconds
