[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.338807 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006859 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.396355 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006537 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006490 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005728 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.342645 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006444 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.430649 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006568 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.011389 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010338 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.482699 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010484 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.614805 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006775 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006580 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005575 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.531929 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.008531 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.527303 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007175 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006499 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005630 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.359424 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007459 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.390466 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006306 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006867 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005645 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.369652 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007144 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.649800 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006619 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006776 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005813 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.422299 seconds
