[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.850832 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015284 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.650665 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015097 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014967 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013028 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.219487 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017187 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 32.222866 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.018825 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014760 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012658 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.831260 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016287 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.578083 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.020017 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014281 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012478 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 16.020731 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017551 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.611706 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015238 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014369 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012727 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.115241 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013615 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.636602 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014106 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014996 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012850 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.525964 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014195 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.426098 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014637 seconds
