[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015836 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.449287 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017730 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015051 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013489 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.579438 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.019836 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.078064 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014994 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015309 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013868 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.605111 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015202 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.467213 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015737 seconds
